id,reference,search,true_x,true_y,seed,scale,rotation_deg,architecture,parameters
10,data\references\ref_0010.png,data\searches\search_0010.png,600.0000,473.0000,3342197139,0.103506,1.42205,dram,"{""psf_sigma"":0.6529586138329763,""photons"":90.06931630228812,""detector_sigma"":3.517875220598979,""sp_probability"":0.0004184637498138986,""edge_gain"":0.11265297600028555,""vignette"":0.03758806783435929,""streaks"":1}"
11,data\references\ref_0011.png,data\searches\search_0011.png,391.0000,398.0000,4214948734,0.099508,-0.75247,finfet,"{""psf_sigma"":1.1201624694937076,""photons"":150.43290460287807,""detector_sigma"":3.658763033435057,""sp_probability"":0.0007300803910010332,""edge_gain"":0.13333049284348744,""vignette"":0.04696840182983393,""streaks"":3}"
12,data\references\ref_0012.png,data\searches\search_0012.png,484.0000,408.0000,4012746722,0.090234,1.30483,dram,"{""psf_sigma"":0.7600619183989339,""photons"":121.46695205998444,""detector_sigma"":2.711896163956756,""sp_probability"":0.0007432958761181831,""edge_gain"":0.1580012772078906,""vignette"":0.08997406919277053,""streaks"":3}"
13,data\references\ref_0013.png,data\searches\search_0013.png,459.5000,536.5000,687217162,0.100968,-1.25325,finfet,"{""psf_sigma"":1.1216183540242184,""photons"":100.61127134492926,""detector_sigma"":2.5274287907721478,""sp_probability"":0.0005327807233518264,""edge_gain"":0.20655551858854893,""vignette"":0.08818681932595479,""streaks"":3}"
14,data\references\ref_0014.png,data\searches\search_0014.png,460.0000,405.0000,726679537,0.102277,-0.16269,dram,"{""psf_sigma"":0.7363663372532707,""photons"":119.67118837074634,""detector_sigma"":2.866338876659827,""sp_probability"":0.0003836477617133291,""edge_gain"":0.15066200832164284,""vignette"":0.07257282011641449,""streaks"":2}"
15,data\references\ref_0015.png,data\searches\search_0015.png,412.5000,444.5000,1542847164,0.107233,-0.41289,finfet,"{""psf_sigma"":0.639407965742182,""photons"":92.00377062155539,""detector_sigma"":2.5933132652813455,""sp_probability"":0.0009930209469603873,""edge_gain"":0.11712231667739595,""vignette"":0.08033140236644921,""streaks"":2}"
16,data\references\ref_0016.png,data\searches\search_0016.png,585.5000,462.5000,1236896271,0.103454,-0.13778,dram,"{""psf_sigma"":0.6415796929552476,""photons"":91.29468995956255,""detector_sigma"":4.784563923746318,""sp_probability"":0.0006129974594504292,""edge_gain"":0.1847745740721779,""vignette"":0.04749545189419768,""streaks"":2}"
17,data\references\ref_0017.png,data\searches\search_0017.png,515.0000,450.0000,685204595,0.104079,-1.32369,dram,"{""psf_sigma"":0.6584853497481482,""photons"":153.953913899339,""detector_sigma"":3.2328276583550926,""sp_probability"":0.0004290837714307932,""edge_gain"":0.11295734635145413,""vignette"":0.07140979220375553,""streaks"":1}"
18,data\references\ref_0018.png,data\searches\search_0018.png,473.0000,474.0000,3483852423,0.096145,-1.15287,finfet,"{""psf_sigma"":0.8831369530494642,""photons"":136.6755934654669,""detector_sigma"":3.1967305366999965,""sp_probability"":0.0009092032026531461,""edge_gain"":0.1286627945671952,""vignette"":0.05513185298739136,""streaks"":3}"
19,data\references\ref_0019.png,data\searches\search_0019.png,391.5000,576.5000,3521592798,0.107258,0.38869,dram,"{""psf_sigma"":0.6905086758606866,""photons"":83.39635625112147,""detector_sigma"":3.5262208991364297,""sp_probability"":0.000902962993951038,""edge_gain"":0.18756973600887306,""vignette"":0.06069684635556871,""streaks"":2}"
20,data\references\ref_0020.png,data\searches\search_0020.png,552.5000,408.5000,2837325921,0.104832,-0.96923,finfet,"{""psf_sigma"":1.0203167431161049,""photons"":116.42771940115412,""detector_sigma"":3.15719031085776,""sp_probability"":0.0007397523192408263,""edge_gain"":0.13033353614313523,""vignette"":0.05671503192273373,""streaks"":3}"
21,data\references\ref_0021.png,data\searches\search_0021.png,494.5000,411.5000,3109238624,0.101339,-1.02679,dram,"{""psf_sigma"":0.607727573036321,""photons"":146.62437196450713,""detector_sigma"":4.688421984703614,""sp_probability"":0.0006457436682418647,""edge_gain"":0.1558541114935975,""vignette"":0.055767619831989204,""streaks"":1}"
22,data\references\ref_0022.png,data\searches\search_0022.png,532.0000,591.0000,3064735813,0.107731,-1.56578,finfet,"{""psf_sigma"":0.867529723564566,""photons"":102.57927016102948,""detector_sigma"":3.432546295255313,""sp_probability"":0.0008020800546506802,""edge_gain"":0.21303124785649388,""vignette"":0.069336246086347,""streaks"":3}"
23,data\references\ref_0023.png,data\searches\search_0023.png,458.0000,456.0000,1504477147,0.100361,1.71234,finfet,"{""psf_sigma"":0.6765268376742548,""photons"":100.95459834541722,""detector_sigma"":2.9892102782051646,""sp_probability"":0.0008168128972805585,""edge_gain"":0.12216473673182363,""vignette"":0.06417817699198586,""streaks"":2}"
24,data\references\ref_0024.png,data\searches\search_0024.png,476.5000,571.5000,2134133310,0.100740,-1.13267,dram,"{""psf_sigma"":0.7568016177982291,""photons"":99.77881776862924,""detector_sigma"":4.151894160412976,""sp_probability"":0.0003858712251273045,""edge_gain"":0.1262921157243162,""vignette"":0.07127039913231545,""streaks"":3}"
25,data\references\ref_0025.png,data\searches\search_0025.png,472.5000,575.5000,2270071828,0.105064,0.44006,finfet,"{""psf_sigma"":0.6501947143574559,""photons"":113.4946435148741,""detector_sigma"":4.388456477962722,""sp_probability"":0.0009228240684863484,""edge_gain"":0.15625746031520998,""vignette"":0.07192655959520469,""streaks"":2}"
26,data\references\ref_0026.png,data\searches\search_0026.png,580.5000,557.5000,3095159477,0.095333,-0.51887,finfet,"{""psf_sigma"":0.7630078104665454,""photons"":104.90863253118788,""detector_sigma"":3.9556680831502473,""sp_probability"":0.0005262613428210957,""edge_gain"":0.1629716748206032,""vignette"":0.07855726160647972,""streaks"":1}"
27,data\references\ref_0027.png,data\searches\search_0027.png,466.0000,452.0000,2229127066,0.100496,-0.78656,dram,"{""psf_sigma"":1.1180628178517242,""photons"":96.2117132335861,""detector_sigma"":2.347539837750221,""sp_probability"":0.0009497596445220183,""edge_gain"":0.2186003917652369,""vignette"":0.07640080890102102,""streaks"":2}"
28,data\references\ref_0028.png,data\searches\search_0028.png,480.0000,471.0000,1318740282,0.104028,1.68860,finfet,"{""psf_sigma"":0.8073399040621221,""photons"":142.93481736313822,""detector_sigma"":2.983880509967631,""sp_probability"":0.000915739372149319,""edge_gain"":0.10250187903446781,""vignette"":0.03965896107602021,""streaks"":1}"
29,data\references\ref_0029.png,data\searches\search_0029.png,416.5000,470.5000,342964178,0.100811,1.30530,finfet,"{""psf_sigma"":1.1062432438965835,""photons"":101.43905156911548,""detector_sigma"":3.0974432045485636,""sp_probability"":0.0004853326904201234,""edge_gain"":0.18308308813979268,""vignette"":0.08672271813337282,""streaks"":2}"
30,data\references\ref_0030.png,data\searches\search_0030.png,414.5000,560.5000,1287684393,0.096665,0.78225,finfet,"{""psf_sigma"":1.0060174259635621,""photons"":128.3599046597261,""detector_sigma"":3.8116606434118463,""sp_probability"":0.00047873603237647217,""edge_gain"":0.17975797130636928,""vignette"":0.0482618398009316,""streaks"":2}"
31,data\references\ref_0031.png,data\searches\search_0031.png,410.0000,551.0000,125036514,0.103669,-0.63260,finfet,"{""psf_sigma"":0.9833123970851252,""photons"":158.80372603111655,""detector_sigma"":2.4082568067981613,""sp_probability"":0.00030489519046921377,""edge_gain"":0.1549808980683855,""vignette"":0.05047316262854121,""streaks"":1}"
32,data\references\ref_0032.png,data\searches\search_0032.png,567.0000,408.0000,1377654836,0.100424,-1.65497,finfet,"{""psf_sigma"":0.796864936637687,""photons"":119.35822003180955,""detector_sigma"":3.9649984237570695,""sp_probability"":0.0007459777225593958,""edge_gain"":0.19984380516913525,""vignette"":0.07624996346547493,""streaks"":3}"
33,data\references\ref_0033.png,data\searches\search_0033.png,509.5000,469.5000,3158605546,0.106610,-1.66876,finfet,"{""psf_sigma"":0.8342684792695517,""photons"":122.57970923065791,""detector_sigma"":3.36811204742281,""sp_probability"":0.0005933904454182204,""edge_gain"":0.20122135211899017,""vignette"":0.07424189611341873,""streaks"":3}"
34,data\references\ref_0034.png,data\searches\search_0034.png,589.0000,517.0000,3351116336,0.095763,-1.60436,dram,"{""psf_sigma"":1.0235333192677416,""photons"":143.22796761092116,""detector_sigma"":4.978412337901727,""sp_probability"":0.00037090790093137005,""edge_gain"":0.15247401653992493,""vignette"":0.05673277426523202,""streaks"":1}"
35,data\references\ref_0035.png,data\searches\search_0035.png,530.0000,599.0000,2953076569,0.100225,1.04405,finfet,"{""psf_sigma"":0.8946248330820177,""photons"":111.27575691981474,""detector_sigma"":2.4071929507984313,""sp_probability"":0.0005536980880366934,""edge_gain"":0.1852962126433909,""vignette"":0.08760200216461461,""streaks"":2}"
36,data\references\ref_0036.png,data\searches\search_0036.png,489.5000,530.5000,2758131273,0.099000,-1.63601,finfet,"{""psf_sigma"":0.8250614799727564,""photons"":164.59289665129916,""detector_sigma"":2.854823375023696,""sp_probability"":0.00047418263218458785,""edge_gain"":0.11832252567253833,""vignette"":0.04596212036953472,""streaks"":2}"
37,data\references\ref_0037.png,data\searches\search_0037.png,456.0000,411.0000,4135512708,0.096111,1.23303,finfet,"{""psf_sigma"":0.9509376781847321,""photons"":151.83627099419172,""detector_sigma"":4.875258814937717,""sp_probability"":0.0008915158933975134,""edge_gain"":0.19047854136933906,""vignette"":0.08741248415299308,""streaks"":2}"
38,data\references\ref_0038.png,data\searches\search_0038.png,437.0000,556.0000,3928518975,0.104449,0.48249,dram,"{""psf_sigma"":0.8852991536103348,""photons"":83.25447164642287,""detector_sigma"":3.76479896077319,""sp_probability"":0.0008013405573790411,""edge_gain"":0.15538455234722498,""vignette"":0.04542248831072516,""streaks"":3}"
39,data\references\ref_0039.png,data\searches\search_0039.png,413.5000,472.5000,2292598803,0.098851,-0.56095,dram,"{""psf_sigma"":0.6086476350004023,""photons"":132.96604697306535,""detector_sigma"":4.440595187243343,""sp_probability"":0.00043156041459591955,""edge_gain"":0.12080939870368824,""vignette"":0.07329441902857436,""streaks"":1}"
